,R_fighter,B_fighter,Winner,finish,finish_details,weight_class
364,Louis Smolka,Casey Kenney,Blue,SUB,Guillotine Choke,Bantamweight
365,Chris Gutierrez,Vince Morales,Red,KO/TKO,Kick,Featherweight
366,Alistair Overeem,Walt Harris,Red,KO/TKO,Punches,Heavyweight
367,Claudia Gadelha,Angela Hill,Red,S-DEC,,Women's Strawweight
368,Dan Ige,Edson Barboza,Red,S-DEC,,Featherweight
369,Krzysztof Jotko,Eryk Anders,Red,U-DEC,,Middleweight
370,Song Yadong,Marlon Vera,Red,U-DEC,,Featherweight
371,Miguel Baeza,Matt Brown,Red,KO/TKO,Punch,Welterweight
372,Kevin Holland,Anthony Hernandez,Red,KO/TKO,Knees,Middleweight
373,Giga Chikadze,Irwin Rivera,Red,U-DEC,,Featherweight
374,Nate Landwehr,Darren Elkins,Red,U-DEC,,Featherweight
375,Cortney Casey,Mara Romero Borella,Red,SUB,Armbar,Women's Flyweight
376,Rodrigo Nascimento,Don'Tale Mayes,Red,SUB,Rear Naked Choke,Heavyweight
377,Anthony Smith,Glover Teixeira,Blue,KO/TKO,Punches,Light Heavyweight
378,Ben Rothwell,Ovince Saint Preux,Red,S-DEC,,Heavyweight
379,Alexander Hernandez,Drew Dober,Blue,KO/TKO,Punches,Lightweight
380,Ricky Simon,Ray Borg,Red,S-DEC,,Bantamweight
381,Andrei Arlovski,Philipe Lins,Red,U-DEC,,Heavyweight
382,Michael Johnson,Thiago Moises,Blue,SUB,Ankle Lock,Lightweight
383,Sijara Eubanks,Sarah Moras,Red,U-DEC,,Women's Bantamweight
384,Gabriel Benitez,Omar Morales,Blue,U-DEC,,Lightweight
385,Hunter Azure,Brian Kelleher,Blue,KO/TKO,Punch,Featherweight
386,Chase Sherman,Ike Villanueva,Red,KO/TKO,Elbow,Heavyweight
387,Vicente Luque,Niko Price,Red,KO/TKO,Punches,Welterweight
388,Bryce Mitchell,Charles Rosa,Red,U-DEC,,Featherweight
389,Ryan Spann,Sam Alvey,Red,S-DEC,,Light Heavyweight
